counts1,counts2,count3,fold1,fold2,fold3
35.4,29.6,32.4,1.2,1.1,0.9
64.2,71.3,85.1,0.9,0.8,0.8
48.4,26.4,43.2,1.8,1.1,0.6
40.9,7.2,40.5,5.7,1.0,0.2
45.6,20.0,33.8,2.3,1.4,0.6
20.5,16.8,21.6,1.2,0.9,0.8
60.5,56.9,50.0,1.1,1.2,1.1
81.0,106.5,113.5,0.8,0.7,0.9
19.5,13.6,14.9,1.4,1.3,0.9
41.9,25.6,44.6,1.6,0.9,0.6
185.2,31.2,4.1,5.9,45.7,7.7
143.3,18.4,6.8,7.8,21.2,2.7
23.3,36.8,24.3,0.6,1.0,1.5
14.0,7.2,16.2,1.9,0.9,0.4
36.3,72.9,27.0,0.5,1.3,2.7
2.8,8.8,2.7,0.3,1.0,3.3
3.7,12.0,4.1,0.3,0.9,3.0
40.9,24.8,32.4,1.6,1.3,0.8
64.2,10.4,35.1,6.2,1.8,0.3
77.2,72.9,54.0,1.1,1.4,1.3
20.5,8.8,13.5,2.3,1.5,0.7
20.5,7.2,20.3,2.8,1.0,0.4
4.7,7.2,9.5,0.6,0.5,0.8
57.7,21.6,70.2,2.7,0.8,0.3
129.3,155.3,117.5,0.8,1.1,1.3
130.3,138.5,182.3,0.9,0.7,0.8
119.1,205.8,97.3,0.6,1.2,2.1
66.1,120.1,66.2,0.6,1.0,1.8
17.7,4.0,10.8,4.4,1.6,0.4
16.7,14.4,13.5,1.2,1.2,1.1
2.8,2.4,5.4,1.2,0.5,0.4
24.2,30.4,20.3,0.8,1.2,1.5
11.2,12.0,6.8,0.9,1.7,1.8
10.2,5.6,9.5,1.8,1.1,0.6
22.3,37.6,24.3,0.6,0.9,1.5
33.5,49.6,31.1,0.7,1.1,1.6
57.7,11.2,35.1,5.1,1.6,0.3
11.2,2.4,8.1,4.6,1.4,0.3
13.0,17.6,8.1,0.7,1.6,2.2
14.9,13.6,14.9,1.1,1.0,0.9
6.5,0.0,6.8,53.0,1.0,0.0
7.4,0.0,6.8,60.5,1.1,0.0
14.0,0.0,13.5,113.5,1.0,0.0
5.6,10.4,6.8,0.5,0.8,1.5
59.5,100.1,70.2,0.6,0.8,1.4
18.6,0.0,2.7,151.3,6.9,0.0
9.3,8.0,8.1,1.2,1.1,1.0
35.4,33.6,32.4,1.1,1.1,1.0
13.0,7.2,14.9,1.8,0.9,0.5
9.3,8.8,8.1,1.1,1.1,1.1
39.1,28.0,41.9,1.4,0.9,0.7
31.6,27.2,24.3,1.2,1.3,1.1
29.8,12.0,27.0,2.5,1.1,0.4
4.7,0.0,2.7,37.8,1.7,0.0
4.7,5.6,4.1,0.8,1.1,1.4
9.3,4.8,6.8,1.9,1.4,0.7
29.8,21.6,33.8,1.4,0.9,0.6
106.1,296.3,87.8,0.4,1.2,3.4
11.2,65.7,4.1,0.2,2.8,16.2
3.7,0.0,2.7,30.3,1.4,0.0
16.7,8.8,10.8,1.9,1.5,0.8
20.5,15.2,25.7,1.3,0.8,0.6
58.6,48.8,33.8,1.2,1.7,1.4
26.1,23.2,23.0,1.1,1.1,1.0
45.6,55.2,36.5,0.8,1.3,1.5
41.9,74.5,33.8,0.6,1.2,2.2
66.1,41.6,56.7,1.6,1.2,0.7
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0
9.3,0.0,6.8,75.6,1.4,0.0
3.7,0.0,4.1,30.3,0.9,0.0
89.3,96.9,94.6,0.9,0.9,1.0
98.6,91.3,101.3,1.1,1.0,0.9
78.2,90.5,81.0,0.9,1.0,1.1
49.3,40.0,58.1,1.2,0.8,0.7
239.1,247.4,229.6,1.0,1.0,1.1
13.0,7.2,12.2,1.8,1.1,0.6
37.2,8.8,33.8,4.2,1.1,0.3
879.3,675.8,813.1,1.3,1.1,0.8
121.9,173.0,149.9,0.7,0.8,1.2
75.4,50.4,77.0,1.5,1.0,0.7
133.1,130.5,137.8,1.0,1.0,0.9
17.7,3.2,13.5,5.5,1.3,0.2
2.8,0.0,1.4,22.7,2.1,0.1
3.7,8.8,2.7,0.4,1.4,3.3
7.4,23.2,8.1,0.3,0.9,2.9
26.1,20.0,21.6,1.3,1.2,0.9
14.9,17.6,18.9,0.8,0.8,0.9
40.0,63.3,50.0,0.6,0.8,1.3
258.7,257.8,356.6,1.0,0.7,0.7
107.9,96.1,110.8,1.1,1.0,0.9
56.8,49.6,54.0,1.1,1.1,0.9
117.2,73.7,108.1,1.6,1.1,0.7
93.0,127.3,85.1,0.7,1.1,1.5
7.4,10.4,8.1,0.7,0.9,1.3
14.9,12.0,14.9,1.2,1.0,0.8
10.2,4.0,6.8,2.6,1.5,0.6
7.4,0.0,10.8,60.5,0.7,0.0
3.7,0.8,5.4,4.6,0.7,0.1
10.2,12.8,14.9,0.8,0.7,0.9
1.9,0.0,0.0,15.1,15.1,1.0
40.0,42.4,36.5,0.9,1.1,1.2
16.7,24.8,13.5,0.7,1.2,1.8
31.6,28.8,31.1,1.1,1.0,0.9
29.8,10.4,21.6,2.9,1.4,0.5
1.9,3.2,1.4,0.6,1.4,2.4
2.8,0.0,2.7,22.7,1.0,0.0
3.7,8.8,4.1,0.4,0.9,2.2
2.8,0.0,2.7,22.7,1.0,0.0
19.5,18.4,18.9,1.1,1.0,1.0
22.3,29.6,28.4,0.8,0.8,1.0
28.8,36.8,33.8,0.8,0.9,1.1
11.2,23.2,14.9,0.5,0.8,1.6
7.4,15.2,8.1,0.5,0.9,1.9
9.3,9.6,8.1,1.0,1.1,1.2
31.6,41.6,31.1,0.8,1.0,1.3
3.7,24.8,2.7,0.1,1.4,9.2
0.9,3.2,1.4,0.3,0.7,2.4
2.8,1.6,2.7,1.7,1.0,0.6
84.7,93.7,58.1,0.9,1.5,1.6
13.0,29.6,13.5,0.4,1.0,2.2
8.4,12.0,8.1,0.7,1.0,1.5
27.9,28.8,36.5,1.0,0.8,0.8
2.8,14.4,4.1,0.2,0.7,3.6
0.9,5.6,1.4,0.2,0.7,4.1
14.9,9.6,6.8,1.5,2.2,1.4
34.4,32.8,36.5,1.0,0.9,0.9
38.1,31.2,45.9,1.2,0.8,0.7
2.8,0.0,2.7,22.7,1.0,0.0
6.5,0.0,4.1,53.0,1.6,0.0
53.0,29.6,55.4,1.8,1.0,0.5
9.3,23.2,10.8,0.4,0.9,2.1
14.9,28.8,16.2,0.5,0.9,1.8
52.1,201.0,44.6,0.3,1.2,4.5
13.0,0.0,4.1,105.9,3.2,0.0
34.4,19.2,36.5,1.8,0.9,0.5
8.4,0.0,9.5,68.1,0.9,0.0
8.4,6.4,6.8,1.3,1.2,0.9
35.4,26.4,25.7,1.3,1.4,1.0
5.6,4.0,5.4,1.4,1.0,0.7
3.7,0.0,5.4,30.3,0.7,0.0
81.9,68.1,63.5,1.2,1.3,1.1
2.8,2.4,2.7,1.2,1.0,0.9
3.7,3.2,4.1,1.2,0.9,0.8
4.7,3.2,5.4,1.5,0.9,0.6
27.0,53.6,29.7,0.5,0.9,1.8
18.6,64.1,13.5,0.3,1.4,4.7
27.0,197.8,25.7,0.1,1.1,7.7
42.8,37.6,47.3,1.1,0.9,0.8
63.3,35.2,60.8,1.8,1.0,0.6
40.0,24.8,40.5,1.6,1.0,0.6
31.6,20.8,24.3,1.5,1.3,0.9
17.7,12.0,12.2,1.5,1.5,1.0
17.7,28.8,12.2,0.6,1.5,2.4
151.7,154.5,112.1,1.0,1.4,1.4
168.4,130.5,120.2,1.3,1.4,1.1
124.7,122.5,70.2,1.0,1.8,1.7
86.5,129.7,60.8,0.7,1.4,2.1
99.6,121.7,118.9,0.8,0.8,1.0
70.7,79.3,94.6,0.9,0.7,0.8
77.2,144.9,94.6,0.5,0.8,1.5
230.8,333.9,416.0,0.7,0.6,0.8
27.9,16.0,29.7,1.7,0.9,0.5
59.5,39.2,85.1,1.5,0.7,0.5
33.5,32.8,25.7,1.0,1.3,1.3
16.7,9.6,33.8,1.7,0.5,0.3
73.5,16.0,62.1,4.6,1.2,0.3
10.2,0.0,18.9,83.2,0.5,0.0
8.4,12.8,16.2,0.7,0.5,0.8
289.4,241.8,584.9,1.2,0.5,0.4
96.8,75.3,90.5,1.3,1.1,0.8
146.1,187.4,155.3,0.8,0.9,1.2
34.4,40.8,40.5,0.8,0.8,1.0
6.5,8.0,4.1,0.8,1.6,2.0
7.4,3.2,8.1,2.3,0.9,0.4
7.4,7.2,6.8,1.0,1.1,1.1
0.0,1.6,0.0,0.1,1.0,13.0
1.9,1.6,1.4,1.2,1.4,1.2
7.4,10.4,12.2,0.7,0.6,0.9
81.9,116.1,108.1,0.7,0.8,1.1
15.8,20.0,17.6,0.8,0.9,1.1
90.3,75.3,135.1,1.2,0.7,0.6
44.7,0.0,5.4,363.1,8.3,0.0
64.2,12.0,94.6,5.3,0.7,0.1
81.9,65.7,52.7,1.2,1.6,1.2
26.1,21.6,33.8,1.2,0.8,0.6
4.7,2.4,4.1,1.9,1.1,0.6
22.3,0.0,2.7,181.6,8.3,0.0
35.4,4.0,5.4,8.8,6.5,0.7
1.9,4.8,1.4,0.4,1.4,3.6
16.7,16.8,16.2,1.0,1.0,1.0
13.0,52.0,10.8,0.3,1.2,4.8
12.1,15.2,13.5,0.8,0.9,1.1
16.7,40.0,37.8,0.4,0.4,1.1
9.3,12.0,18.9,0.8,0.5,0.6
